"AGE","SEX","MARRIED","PROPERTY_COMPEN","PARENT_INC","COLLEGE","VIOLENT","STRIKE","FORCE","AGE_SQUARE"
43,1,1,1,"3","1",1,1,0,1849
38,1,1,0,"3","0",1,0,0,1444
44,1,1,1,"3","1",1,1,0,1936
43,1,1,1,"2","1",1,1,0,1849
46,1,1,1,"4","1",1,0,1,2116
45,0,1,1,"3","1",1,0,1,2025
45,1,1,0,"3","1",1,0,1,2025
44,1,1,0,"3","0",1,0,1,1936
35,0,0,0,"1","0",1,0,1,1225
27,1,1,1,"3","0",0,0,0,729
25,1,1,1,"2","0",0,0,0,625
46,1,1,1,"4","1",0,0,0,2116
46,0,1,1,"3","0",0,0,0,2116
44,1,1,1,"4","0",0,0,0,1936
39,0,0,1,"2","0",0,0,0,1521
38,0,1,1,"3","0",1,0,1,1444
33,1,0,1,"3","1",1,0,1,1089
32,0,1,1,"2","1",1,0,1,1024
26,1,1,1,"2","0",1,0,1,676
28,0,1,1,"2","0",0,0,0,784
24,1,0,1,"3","0",0,0,0,576
46,0,1,1,"3","0",0,0,0,2116
45,0,1,1,"4","0",1,1,0,2025
41,1,1,1,"3","0",1,1,0,1681
39,1,0,1,"4","1",1,1,0,1521
37,0,1,1,"4","0",1,1,0,1369
43,1,1,0,"3","0",0,0,0,1849
28,1,1,1,"3","1",0,0,0,784
24,1,0,1,"4","0",0,0,0,576
43,0,1,0,"2","0",0,1,1,1849
40,0,1,0,"2","0",0,1,1,1600
38,0,1,0,"3","0",0,1,1,1444
29,0,1,0,"2","0",0,1,1,841
32,1,1,0,"3","1",0,1,1,1024
43,0,1,1,"2","0",1,1,0,1849
45,1,1,0,"2","0",0,1,1,2025
41,1,1,1,"3","1",1,1,0,1681
24,1,0,1,"2","0",0,1,0,576
45,0,1,1,"3","0",0,0,0,2025
41,1,1,1,"3","1",0,0,0,1681
38,0,1,1,"3","1",0,0,0,1444
46,0,1,1,"2","0",0,0,0,2116
43,0,0,1,"3","1",0,0,0,1849
26,0,0,1,"3","0",0,0,0,676
25,0,1,1,"3","0",0,0,0,625
23,1,0,1,"1","0",0,0,0,529
46,1,1,1,"3","0",0,1,1,2116
36,1,0,1,"4","1",0,1,1,1296
42,0,1,0,"3","0",0,1,1,1764
44,1,1,0,"4","1",0,0,0,1936
41,0,1,0,"2","0",0,0,0,1681
38,0,1,0,"2","0",0,0,0,1444
36,1,0,0,"3","1",0,0,0,1296
26,0,0,0,"2","0",0,0,0,676
46,1,1,1,"3","0",0,0,0,2116
44,1,0,1,"3","0",0,0,0,1936
31,1,1,1,"3","0",0,1,0,961
34,0,1,0,"1","1",0,1,0,1156
44,0,1,1,"3","0",0,1,0,1936
36,1,1,1,"2","0",1,0,1,1296
44,1,1,0,"4","0",0,1,1,1936
39,0,1,1,"3","1",1,0,1,1521
42,0,1,1,"3","0",1,0,1,1764
39,1,1,1,"3","1",1,1,0,1521
36,0,1,1,"3","1",1,1,0,1296
44,0,1,1,"3","0",0,0,0,1936
38,1,1,1,"3","1",0,0,0,1444
43,0,0,1,"3","0",0,1,0,1849
39,0,0,1,"4","0",0,1,0,1521
43,0,1,0,"3","0",0,1,1,1849
33,1,1,1,"3","0",1,0,1,1089
29,1,0,1,"2","0",1,0,1,841
23,0,0,1,"1","1",1,0,1,529
43,1,0,0,"2","0",0,0,0,1849
43,0,1,1,"3","0",0,0,0,1849
41,0,1,1,"3","0",0,0,0,1681
39,0,1,1,"4","0",0,0,0,1521
41,1,1,1,"3","0",0,1,1,1681
46,0,1,1,"2","0",0,1,0,2116
31,1,0,1,"4","0",0,1,1,961
29,0,1,1,"3","0",0,1,1,841
25,0,1,1,"2","0",0,1,1,625
23,1,0,1,"3","0",0,1,1,529
44,1,1,0,"3","0",0,1,0,1936
43,1,0,0,"3","0",0,1,0,1849
41,1,1,0,"3","0",0,1,0,1681
43,1,1,0,"4","1",0,1,0,1849
39,0,1,0,"2","0",0,1,0,1521
35,1,0,0,"2","0",0,1,0,1225
46,0,1,1,"3","0",1,1,0,2116
38,0,1,1,"4","0",1,1,0,1444
36,0,1,1,"4","1",1,1,0,1296
42,1,1,1,"1","1",0,0,0,1764
39,0,1,1,"4","1",0,0,0,1521
31,1,1,1,"3","1",0,0,0,961
28,0,1,1,"4","1",0,0,0,784
46,0,0,1,"2","0",0,0,0,2116
44,0,1,1,"2","0",0,0,0,1936
40,1,0,1,"3","0",0,0,0,1600
45,1,1,0,"2","0",1,1,0,2025
44,0,1,0,"2","0",1,1,0,1936
41,0,0,0,"2","0",1,1,0,1681
39,1,0,0,"3","0",1,1,0,1521
46,1,1,1,"4","0",0,1,0,2116
43,1,1,1,"2","0",0,0,0,1849
38,0,1,1,"2","0",0,0,0,1444
33,0,1,1,"2","0",0,0,0,1089
25,0,1,1,"2","0",0,0,0,625
22,1,0,1,"2","0",0,0,0,484
45,0,1,1,"2","0",1,1,0,2025
43,0,1,1,"2","0",1,1,0,1849
45,0,1,1,"2","0",0,0,0,2025
42,1,1,1,"2","0",0,0,0,1764
45,0,1,0,"2","0",0,0,0,2025
30,0,0,1,"2","0",1,1,0,900
26,1,1,1,"2","1",1,1,0,676
43,0,1,1,"2","0",1,1,0,1849
41,1,1,1,"2","0",1,1,0,1681
39,1,1,1,"2","0",1,1,0,1521
35,0,1,1,"2","0",1,1,0,1225
32,0,1,1,"2","0",1,1,0,1024
30,1,0,1,"3","1",1,1,0,900
29,1,0,1,"2","1",1,1,0,841
46,1,1,1,"3","0",1,1,0,2116
45,0,1,1,"3","0",1,1,0,2025
39,1,1,1,"3","0",1,1,0,1521
34,1,1,1,"2","0",1,1,0,1156
46,1,1,1,"2","1",1,1,0,2116
39,1,1,1,"2","0",1,1,0,1521
36,0,1,1,"3","0",0,1,1,1296
33,1,1,1,"3","0",0,1,1,1089
32,0,1,1,"2","0",0,1,1,1024
26,1,1,1,"1","1",0,1,1,676
43,1,1,0,"2","1",1,1,0,1849
43,0,1,1,"2","0",0,0,0,1849
42,1,1,1,"2","0",0,0,0,1764
35,0,0,1,"2","0",0,0,0,1225
41,1,1,1,"3","0",1,1,0,1681
44,1,1,0,"2","0",1,1,0,1936
41,1,1,1,"3","0",1,1,0,1681
42,0,1,1,"3","0",1,1,0,1764
44,0,1,1,"2","0",0,0,0,1936
41,1,1,1,"2","0",0,0,0,1681
43,1,1,1,"3","1",0,0,0,1849
41,1,1,1,"4","1",0,0,0,1681
46,1,1,0,"3","0",0,1,1,2116
39,0,1,0,"2","0",0,1,1,1521
36,0,1,0,"2","0",0,1,1,1296
44,1,1,1,"3","1",0,1,1,1936
46,0,1,0,"3","0",0,0,0,2116
43,1,0,0,"3","1",0,0,0,1849
42,1,1,0,"3","1",0,0,0,1764
33,0,1,0,"3","0",0,0,0,1089
44,0,1,1,"3","0",0,0,0,1936
41,1,1,1,"2","0",0,0,0,1681
39,1,1,1,"3","0",0,0,0,1521
34,1,1,1,"3","1",0,0,0,1156
29,1,0,1,"3","1",0,0,0,841
33,1,1,0,"3","1",0,0,0,1089
29,1,1,0,"3","1",0,0,0,841
45,1,1,0,"4","1",0,0,0,2025
31,0,1,0,"3","0",0,1,1,961
30,1,1,0,"4","1",0,1,1,900
32,0,1,1,"3","1",0,0,0,1024
23,0,0,1,"3","0",0,0,0,529
44,1,0,0,"1","0",0,0,1,1936
42,0,1,1,"3","0",0,0,1,1764
38,0,1,1,"2","0",0,0,1,1444
36,0,1,1,"3","0",0,0,1,1296
33,0,1,1,"2","0",0,0,1,1089
41,1,1,0,"3","0",0,0,0,1681
44,0,1,0,"3","0",0,0,0,1936
45,1,1,1,"3","0",0,0,1,2025
38,1,1,1,"3","0",0,0,1,1444
35,0,0,1,"2","0",0,0,1,1225
46,1,1,0,"3","0",1,1,0,2116
43,0,1,0,"2","0",1,1,0,1849
41,1,1,0,"3","0",1,1,0,1681
43,0,1,0,"2","0",0,0,0,1849
42,0,1,0,"3","1",0,0,0,1764
40,0,1,0,"4","0",0,0,0,1600
36,0,1,0,"3","0",0,0,0,1296
24,0,1,0,"2","0",0,0,0,576
46,1,1,0,"2","0",0,0,0,2116
46,0,1,1,"2","0",0,0,0,2116
39,1,1,1,"3","0",0,0,0,1521
45,0,1,0,"3","0",0,0,0,2025
44,1,1,0,"4","0",0,0,0,1936
43,1,1,0,"3","0",0,0,0,1849
32,1,1,1,"2","0",0,0,0,1024
30,0,1,1,"3","0",0,0,0,900
28,0,0,1,"2","0",0,0,0,784
43,1,1,0,"3","0",0,0,0,1849
37,0,1,0,"3","0",0,0,0,1369
41,1,1,1,"4","1",0,0,0,1681
46,0,1,1,"4","0",0,0,0,2116
45,0,1,1,"3","0",0,0,0,2025
43,0,1,1,"4","0",0,0,0,1849
40,0,1,1,"3","1",0,0,0,1600
43,1,1,0,"3","1",0,0,1,1849
46,0,1,1,"3","1",0,0,1,2116
35,1,1,1,"2","0",0,0,1,1225
31,0,1,0,"3","0",0,0,1,961
42,1,1,1,"3","1",0,0,1,1764
44,0,1,1,"3","0",0,0,1,1936
35,1,1,0,"3","0",0,0,1,1225
37,1,1,1,"2","0",0,0,1,1369
45,0,1,0,"2","0",0,0,1,2025
43,0,1,0,"2","0",0,0,1,1849
41,0,0,0,"2","0",0,0,1,1681
44,0,0,1,"2","1",0,0,1,1936
44,0,1,1,"4","0",0,1,0,1936
43,1,1,1,"4","1",0,1,0,1849
37,0,1,1,"3","1",0,1,0,1369
41,0,0,1,"3","1",0,1,0,1681
45,1,1,1,"2","0",0,0,1,2025
45,1,1,0,"3","1",0,0,1,2025
37,1,1,0,"3","1",0,0,0,1369
35,1,0,0,"3","1",0,0,0,1225
44,0,0,0,"2","0",0,0,1,1936
42,0,1,0,"3","0",0,0,1,1764
45,1,1,0,"4","0",0,0,1,2025
41,1,1,0,"4","0",0,0,1,1681
40,0,1,0,"3","0",0,0,1,1600
46,0,1,0,"3","1",0,0,1,2116
36,1,1,0,"4","1",0,0,1,1296
46,1,1,1,"3","0",0,1,1,2116
45,1,1,1,"3","0",0,1,1,2025
42,0,1,1,"2","0",0,1,1,1764
46,0,1,0,"4","1",0,0,1,2116
44,1,0,0,"3","1",0,0,1,1936
38,0,0,0,"2","0",0,0,1,1444
30,1,0,0,"2","1",0,0,1,900
46,1,1,0,"4","0",0,1,1,2116
43,1,1,0,"3","1",0,1,1,1849
42,0,1,0,"4","0",0,1,1,1764
46,0,1,0,"2","0",1,1,0,2116
41,0,1,0,"3","0",0,0,0,1681
45,0,1,1,"4","0",0,0,1,2025
43,0,1,1,"2","0",0,0,1,1849
41,0,1,1,"3","0",0,0,1,1681
34,1,1,1,"2","0",0,0,0,1156
44,1,1,1,"4","0",0,0,1,1936
35,1,1,1,"4","1",1,1,0,1225
31,1,1,0,"3","1",0,0,0,961
41,0,0,1,"2","0",0,0,1,1681
39,0,1,1,"4","1",0,0,1,1521
27,0,1,0,"3","0",0,1,1,729
23,1,1,0,"2","0",0,1,1,529
42,1,1,0,"2","0",0,0,1,1764
35,0,0,0,"3","0",0,0,1,1225
42,0,1,0,"3","1",0,0,1,1764
38,1,1,0,"3","1",0,0,1,1444
33,0,1,0,"3","1",0,0,1,1089
46,1,1,1,"3","1",1,1,0,2116
37,0,1,1,"2","0",1,1,0,1369
27,0,1,1,"2","0",1,1,0,729
46,1,1,1,"2","0",0,0,1,2116
39,1,1,1,"2","1",1,0,0,1521
36,0,1,1,"2","0",1,0,0,1296
33,1,1,1,"3","1",1,0,0,1089
31,0,0,1,"2","1",1,0,0,961
25,1,0,1,"2","1",1,0,0,625
23,1,0,1,"2","0",1,0,0,529
45,0,1,0,"3","0",0,0,1,2025
42,0,1,0,"3","0",0,0,1,1764
38,0,1,1,"1","1",0,0,0,1444
46,1,1,1,"4","1",0,1,0,2116
43,0,1,1,"3","0",0,1,0,1849
40,0,1,1,"3","1",0,1,0,1600
44,0,1,1,"3","0",0,1,0,1936
43,0,1,1,"3","0",0,1,0,1849
39,0,1,1,"3","1",0,1,0,1521
45,0,1,1,"4","1",0,1,0,2025
38,0,1,1,"3","0",0,1,0,1444
44,0,1,1,"4","1",0,1,0,1936
43,0,1,1,"3","1",0,1,0,1849
41,1,0,1,"2","0",0,1,0,1681
38,0,1,0,"3","0",0,0,0,1444
36,1,1,0,"3","0",0,0,0,1296
40,0,1,0,"4","0",0,1,0,1600
40,1,1,0,"3","0",0,1,0,1600
42,0,1,1,"3","0",0,1,1,1764
42,1,1,1,"2","0",0,1,1,1764
40,0,1,1,"3","0",0,1,1,1600
39,0,1,1,"2","0",0,1,1,1521
37,1,1,1,"2","0",0,1,1,1369
30,1,1,1,"2","0",0,1,1,900
41,0,1,0,"3","0",0,1,0,1681
36,0,1,0,"3","0",0,1,0,1296
41,1,1,1,"3","0",1,1,0,1681
38,1,1,1,"2","0",1,1,0,1444
46,1,1,1,"1","0",0,1,1,2116
41,0,1,1,"3","0",0,1,1,1681
44,0,1,1,"4","0",1,1,0,1936
36,0,1,1,"2","0",1,1,0,1296
35,0,1,1,"2","0",1,1,0,1225
39,1,1,1,"2","0",1,1,0,1521
46,1,1,1,"3","0",0,1,1,2116
41,1,1,1,"3","0",0,1,1,1681
32,0,1,0,"3","0",0,0,0,1024
38,1,1,1,"3","1",0,1,0,1444
42,1,1,1,"4","0",0,1,0,1764
41,0,1,1,"2","0",0,1,0,1681
42,0,1,1,"4","0",0,1,1,1764
31,1,0,1,"3","1",0,1,1,961
30,1,0,1,"2","0",0,0,1,900
27,1,0,1,"2","0",0,0,1,729
46,0,1,1,"2","0",0,1,0,2116
40,1,1,1,"3","1",0,0,1,1600
39,1,1,1,"3","0",0,0,1,1521
36,1,1,1,"2","0",0,0,1,1296
33,1,1,1,"3","0",0,0,1,1089
27,0,0,1,"2","0",0,0,1,729
24,1,0,1,"2","0",0,0,1,576
46,1,1,1,"4","0",0,1,1,2116
34,0,1,1,"2","0",0,1,1,1156
24,0,0,1,"1","0",0,1,1,576
37,0,1,1,"2","0",0,0,0,1369
28,0,1,1,"4","1",0,0,0,784
34,1,0,1,"4","0",0,0,0,1156
30,0,1,1,"2","0",0,0,0,900
29,0,1,1,"1","0",0,0,0,841
27,0,1,1,"3","1",0,0,0,729
23,1,0,1,"1","1",0,0,0,529
45,0,1,0,"3","0",1,1,0,2025
44,0,1,0,"3","0",1,1,0,1936
41,0,1,0,"3","0",1,1,0,1681
42,1,1,1,"3","0",0,0,0,1764
43,1,1,0,"3","0",0,0,1,1849
43,0,1,0,"3","0",0,0,1,1849
36,1,1,1,"2","0",0,0,0,1296
22,0,0,1,"1","0",0,0,0,484
45,0,1,0,"2","0",0,0,0,2025
43,1,1,0,"3","0",0,0,0,1849
41,1,1,0,"2","0",0,0,0,1681
39,1,1,0,"3","0",0,0,0,1521
46,0,1,0,"3","0",1,1,0,2116
44,0,1,0,"3","0",1,1,0,1936
39,1,1,0,"3","1",1,1,0,1521
36,1,1,0,"2","0",1,1,0,1296
45,0,1,1,"2","0",0,0,0,2025
32,0,1,1,"3","0",0,0,0,1024
29,1,1,1,"3","0",0,0,0,841
27,0,1,1,"2","0",0,0,0,729
33,0,0,0,"2","0",0,0,0,1089
30,1,0,0,"2","1",0,0,0,900
25,0,1,0,"3","0",0,0,0,625
23,1,1,0,"1","1",0,0,0,529
42,0,1,0,"3","1",0,0,0,1764
34,0,1,1,"2","0",0,0,0,1156
32,1,0,1,"2","1",0,0,0,1024
46,1,1,1,"2","0",1,0,0,2116
44,0,0,1,"2","0",1,0,0,1936
43,1,1,0,"4","1",0,0,0,1849
45,0,1,0,"3","0",0,0,0,2025
43,1,1,0,"3","0",0,0,0,1849
38,1,1,0,"3","1",0,0,0,1444
44,0,1,1,"2","1",1,0,0,1936
37,0,1,0,"4","0",0,1,1,1369
35,0,1,0,"2","0",0,1,1,1225
31,0,1,0,"2","0",0,1,1,961
27,0,1,0,"2","0",0,1,1,729
24,1,0,0,"1","1",0,1,1,576
44,0,1,0,"3","0",0,1,0,1936
42,0,1,0,"2","0",0,1,0,1764
43,0,1,1,"2","0",0,0,0,1849
40,1,1,1,"2","0",0,0,0,1600
21,1,0,0,"3","0",1,1,0,441
26,1,0,0,"2","0",0,0,0,676
25,1,0,0,"1","0",0,0,0,625
41,0,1,0,"2","0",0,0,0,1681
30,0,1,0,"3","0",0,0,0,900
44,1,1,1,"4","0",1,1,0,1936
39,0,1,1,"4","0",1,1,0,1521
36,1,1,1,"3","1",1,1,0,1296
33,1,1,1,"3","1",1,1,0,1089
26,0,0,1,"2","1",1,1,0,676
29,0,1,1,"2","0",1,1,0,841
43,1,1,1,"2","1",0,0,0,1849
46,1,1,0,"2","0",0,1,1,2116
39,0,1,0,"2","0",0,1,1,1521
38,1,1,0,"4","0",0,1,1,1444
35,1,0,1,"2","0",1,0,0,1225
34,0,1,1,"3","1",1,0,0,1156
42,1,1,1,"2","0",0,1,1,1764
38,1,1,1,"1","0",0,1,1,1444
36,0,1,1,"1","0",0,1,1,1296
34,0,0,1,"4","0",0,1,1,1156
42,0,1,1,"2","0",1,1,0,1764
37,0,1,1,"3","0",1,1,0,1369
35,0,1,1,"3","1",1,1,0,1225
30,0,1,1,"2","0",1,1,0,900
41,0,1,0,"2","0",0,0,0,1681
40,1,1,1,"2","0",0,0,0,1600
45,1,1,0,"3","1",1,1,0,2025
39,0,1,0,"2","0",1,1,0,1521
33,0,0,0,"2","0",1,1,0,1089
29,0,1,0,"2","0",1,1,0,841
26,1,0,0,"3","1",1,1,0,676
26,1,0,1,"1","1",0,0,0,676
25,1,0,1,"3","1",0,0,0,625
22,1,1,1,"1","1",0,0,0,484
46,1,0,1,"3","1",0,0,0,2116
40,0,1,1,"3","0",0,0,0,1600
38,0,1,1,"3","0",0,0,0,1444
35,1,1,1,"4","1",0,0,0,1225
46,1,1,1,"4","0",0,0,0,2116
45,1,1,0,"2","0",0,0,0,2025
44,1,0,0,"3","0",0,0,0,1936
38,1,1,0,"3","1",0,0,0,1444
41,0,1,0,"3","0",0,0,0,1681
38,1,1,0,"3","1",0,0,0,1444
43,1,1,0,"3","0",0,0,0,1849
36,1,1,0,"2","0",0,0,0,1296
42,1,1,0,"3","0",0,0,0,1764
34,1,1,1,"2","1",0,0,0,1156
30,0,1,1,"3","1",0,0,0,900
45,0,0,1,"2","1",0,0,0,2025
43,0,1,1,"4","0",0,0,0,1849
41,1,1,1,"3","1",0,0,0,1681
34,1,1,1,"3","1",0,0,0,1156
44,1,1,1,"3","0",0,0,0,1936
43,1,1,1,"3","1",0,1,1,1849
40,1,1,1,"3","1",0,1,1,1600
38,0,1,1,"2","1",0,1,1,1444
