"AGE","SEX","MARRIED","PROPERTY_COMPEN","PARENT_INC","COLLEGE","VIOLENT","STRIKE","FORCE","AGE_SQUARE"
35,1,1,1,"2","1",0,1,1,1225
46,1,1,1,"2","0",0,0,0,2116
45,0,1,0,"4","0",0,0,0,2025
42,0,1,0,"3","0",0,0,0,1764
44,0,1,1,"3","0",0,0,0,1936
38,1,0,1,"4","0",0,0,0,1444
41,0,1,0,"3","1",0,0,0,1681
36,1,1,1,"2","0",0,1,1,1296
42,0,1,0,"3","0",0,0,0,1764
38,1,1,0,"3","0",0,0,0,1444
37,1,1,0,"3","1",0,0,0,1369
38,0,1,1,"3","0",0,0,0,1444
32,1,1,1,"3","1",0,0,0,1024
43,0,1,0,"4","0",0,0,0,1849
28,1,0,0,"2","0",0,0,0,784
42,0,0,1,"2","1",0,0,0,1764
34,1,1,1,"2","0",0,0,0,1156
42,0,1,0,"4","0",0,0,0,1764
37,1,1,1,"3","0",0,0,0,1369
34,1,1,1,"3","0",0,0,0,1156
33,0,1,1,"2","0",0,0,0,1089
31,1,1,1,"3","0",0,0,0,961
29,1,1,1,"2","1",0,0,0,841
28,1,1,1,"3","0",0,0,0,784
24,0,0,1,"3","0",0,0,0,576
42,1,1,1,"3","1",0,0,0,1764
45,1,0,1,"2","1",0,0,0,2025
46,0,1,0,"4","0",0,0,0,2116
37,0,1,1,"2","0",0,0,0,1369
46,1,1,1,"3","0",0,0,0,2116
41,1,1,1,"4","1",0,0,0,1681
46,0,1,0,"3","0",0,0,0,2116
44,0,1,0,"4","0",0,0,0,1936
41,1,1,0,"3","1",0,0,0,1681
41,1,1,1,"2","0",0,0,0,1681
39,1,1,1,"2","0",0,0,0,1521
34,0,1,1,"2","0",0,0,0,1156
33,1,1,1,"3","0",0,0,0,1089
38,0,1,1,"3","1",0,1,1,1444
38,1,0,1,"3","1",0,0,0,1444
46,1,1,0,"3","0",0,1,1,2116
42,1,1,0,"2","0",0,1,1,1764
38,1,1,0,"3","1",0,1,1,1444
44,0,1,1,"3","0",0,0,0,1936
39,1,1,1,"2","0",0,0,0,1521
43,0,1,1,"2","0",0,0,0,1849
38,0,1,0,"3","0",0,0,0,1444
40,0,1,1,"2","0",0,0,0,1600
38,0,0,1,"2","0",0,0,0,1444
35,1,1,1,"2","0",0,0,0,1225
31,1,1,1,"3","1",0,0,0,961
29,1,0,1,"1","1",0,0,0,841
26,0,1,1,"2","1",0,0,0,676
44,1,0,1,"3","1",0,0,0,1936
42,0,1,1,"3","1",0,0,0,1764
36,0,1,1,"3","0",0,0,0,1296
23,1,1,1,"3","1",0,0,0,529
44,1,0,1,"2","1",0,1,0,1936
40,1,0,1,"3","0",0,1,0,1600
38,0,1,1,"3","1",0,0,0,1444
45,0,1,0,"2","0",0,0,0,2025
45,0,1,1,"3","0",0,0,0,2025
43,1,1,0,"2","1",0,0,0,1849
42,0,1,0,"2","0",0,0,0,1764
36,0,1,0,"3","1",0,0,0,1296
30,0,0,0,"2","0",0,0,0,900
41,1,1,1,"3","1",0,0,0,1681
39,1,1,1,"2","0",0,0,0,1521
35,0,1,1,"3","0",0,0,0,1225
33,0,1,1,"3","0",0,0,0,1089
31,0,1,1,"2","0",0,0,0,961
27,1,0,1,"2","1",0,0,0,729
46,1,1,1,"2","0",0,0,0,2116
44,0,1,1,"2","0",0,0,0,1936
24,0,1,0,"3","0",1,1,0,576
46,0,1,1,"2","0",0,0,0,2116
45,1,0,1,"2","1",0,0,0,2025
42,1,0,0,"1","0",0,0,0,1764
35,0,1,0,"3","0",0,0,0,1225
41,1,1,1,"4","0",0,0,0,1681
40,1,1,1,"3","1",0,0,0,1600
42,1,1,0,"3","1",0,1,0,1764
46,0,1,0,"2","0",0,0,1,2116
43,0,1,0,"4","0",0,0,1,1849
36,1,1,1,"3","0",1,1,0,1296
45,1,1,1,"2","1",0,1,0,2025
42,1,1,1,"3","0",0,1,0,1764
40,0,1,1,"2","0",0,1,0,1600
45,0,0,1,"2","1",0,0,1,2025
42,1,1,1,"2","0",0,0,1,1764
40,1,1,1,"2","0",0,0,1,1600
42,0,0,1,"2","0",0,0,0,1764
45,0,0,0,"3","1",0,0,1,2025
44,0,0,0,"3","1",0,0,1,1936
40,0,1,0,"4","1",0,0,1,1600
46,1,1,0,"3","1",0,0,1,2116
43,0,1,1,"3","0",0,0,0,1849
40,1,1,1,"3","1",0,0,0,1600
43,1,1,1,"3","1",0,0,0,1849
41,1,1,1,"3","1",0,0,0,1681
39,0,1,1,"3","0",0,0,0,1521
42,1,1,1,"3","1",0,0,0,1764
44,0,1,1,"3","1",0,0,0,1936
40,0,1,1,"3","1",0,0,0,1600
37,1,1,1,"3","1",0,0,0,1369
33,1,1,1,"3","1",0,0,0,1089
44,1,1,1,"3","1",0,0,1,1936
45,0,1,1,"3","0",0,0,0,2025
45,0,1,1,"3","0",0,0,0,2025
45,0,1,1,"4","1",1,1,0,2025
40,1,1,1,"3","1",1,1,0,1600
37,0,1,1,"3","0",0,0,1,1369
45,1,1,1,"3","1",0,0,1,2025
42,1,1,1,"4","1",0,0,1,1764
46,1,1,0,"2","0",0,0,0,2116
45,0,1,1,"3","0",0,0,0,2025
42,1,1,1,"3","0",0,0,0,1764
40,1,1,1,"3","1",0,0,0,1600
46,1,1,1,"3","0",0,0,0,2116
43,0,1,1,"3","0",0,0,0,1849
29,0,0,1,"1","0",0,0,0,841
23,0,0,1,"1","0",0,0,0,529
42,0,1,0,"4","0",0,0,0,1764
41,0,1,0,"4","0",0,0,0,1681
46,0,0,1,"1","0",0,0,0,2116
40,0,1,1,"3","0",0,0,0,1600
45,0,0,1,"2","0",1,1,0,2025
41,0,1,1,"3","0",1,1,0,1681
39,0,1,1,"2","0",1,1,0,1521
35,0,1,1,"3","0",1,1,0,1225
33,0,1,1,"3","1",1,1,0,1089
44,1,1,1,"2","1",0,1,0,1936
41,1,1,1,"4","1",0,1,0,1681
39,1,1,1,"3","1",0,1,0,1521
46,0,0,1,"4","0",0,1,0,2116
45,1,1,0,"3","0",0,0,0,2025
45,0,1,0,"4","0",0,0,0,2025
25,0,1,0,"3","1",0,0,0,625
46,0,0,0,"4","1",0,0,0,2116
44,1,1,0,"3","1",0,0,0,1936
46,0,1,1,"4","1",0,0,0,2116
45,1,1,1,"3","1",0,0,0,2025
41,1,1,1,"3","1",0,0,0,1681
42,0,1,1,"3","0",0,1,1,1764
38,1,1,1,"3","0",0,1,1,1444
38,0,1,1,"3","0",0,1,1,1444
35,1,1,1,"3","1",0,1,1,1225
42,1,1,1,"4","0",1,0,0,1764
32,1,1,1,"3","1",1,1,0,1024
30,0,0,1,"2","0",1,1,0,900
29,1,1,1,"3","1",1,1,0,841
33,0,1,1,"3","1",0,1,0,1089
30,1,1,1,"3","1",0,1,0,900
38,0,1,0,"3","1",0,0,0,1444
43,1,1,1,"2","0",1,1,0,1849
41,1,1,0,"3","0",1,1,0,1681
33,1,1,0,"3","0",1,1,0,1089
45,0,1,1,"2","0",1,0,1,2025
43,0,1,1,"3","0",1,0,1,1849
42,0,1,0,"3","0",0,0,0,1764
39,0,1,0,"2","0",0,0,0,1521
37,1,1,0,"3","1",0,0,0,1369
43,1,1,1,"3","0",0,0,0,1849
40,0,1,1,"4","0",0,0,0,1600
43,1,1,0,"2","0",0,1,1,1849
37,1,1,0,"3","0",0,1,1,1369
34,0,1,0,"3","0",0,1,1,1156
42,1,1,0,"2","0",1,1,0,1764
41,0,1,0,"3","0",0,1,1,1681
45,1,1,1,"2","0",0,0,0,2025
44,0,1,1,"3","0",0,0,0,1936
41,0,0,1,"2","1",0,0,0,1681
39,0,1,1,"4","0",0,0,0,1521
37,0,1,1,"2","0",0,0,0,1369
35,0,1,1,"2","1",0,0,0,1225
33,1,1,1,"3","1",0,0,0,1089
29,1,1,1,"3","1",0,0,0,841
34,1,1,0,"3","0",1,0,0,1156
45,0,1,0,"3","0",1,1,0,2025
43,1,1,0,"3","0",1,1,0,1849
31,0,1,0,"3","0",1,1,0,961
40,0,1,0,"3","0",0,0,0,1600
41,0,1,1,"3","0",0,0,0,1681
46,0,1,0,"2","0",0,0,0,2116
43,0,1,0,"3","1",0,0,0,1849
41,0,1,1,"2","0",0,0,0,1681
34,0,1,1,"2","0",0,0,0,1156
45,1,1,0,"2","0",0,1,1,2025
44,1,1,0,"3","0",0,1,1,1936
37,1,1,0,"3","1",0,1,1,1369
42,1,1,1,"3","1",1,1,0,1764
38,0,1,1,"2","1",1,1,0,1444
46,0,1,1,"4","1",1,1,0,2116
40,1,1,1,"3","1",0,1,0,1600
39,1,1,1,"3","0",0,1,0,1521
36,1,1,1,"2","1",0,1,0,1296
41,0,1,1,"3","1",0,0,0,1681
36,0,1,1,"3","1",0,0,0,1296
45,1,1,1,"2","0",0,0,0,2025
43,0,1,1,"2","0",0,0,0,1849
40,1,1,1,"2","0",0,0,1,1600
45,1,1,1,"2","0",0,0,1,2025
45,1,1,0,"3","1",0,0,0,2025
40,1,0,0,"2","0",0,0,0,1600
40,0,0,0,"1","0",0,0,0,1600
44,1,1,0,"3","1",0,0,0,1936
46,0,1,1,"2","0",0,1,0,2116
45,1,0,1,"2","0",0,1,0,2025
40,1,0,0,"2","1",0,0,0,1600
36,1,1,0,"3","1",0,0,0,1296
45,0,1,1,"3","0",0,0,1,2025
40,1,1,1,"2","0",0,0,1,1600
43,1,1,1,"4","0",0,0,0,1849
40,1,1,1,"3","0",0,0,0,1600
38,1,1,1,"3","0",0,0,0,1444
36,0,1,1,"3","0",0,0,0,1296
33,0,1,1,"3","0",0,0,0,1089
45,1,1,1,"3","0",0,0,1,2025
33,0,1,1,"3","0",0,0,1,1089
44,1,1,1,"3","1",0,0,1,1936
34,0,1,1,"3","0",0,0,1,1156
32,0,1,1,"2","1",0,0,1,1024
44,0,1,1,"2","0",0,0,0,1936
43,0,1,1,"2","0",0,0,0,1849
40,1,1,1,"2","0",0,0,0,1600
39,1,1,1,"2","0",0,0,0,1521
42,1,0,1,"2","0",0,0,1,1764
37,1,1,0,"3","1",1,0,1,1369
44,1,1,1,"3","0",0,0,0,1936
46,0,1,0,"3","0",0,0,0,2116
46,1,1,1,"3","1",0,0,1,2116
44,0,1,0,"2","0",0,1,0,1936
44,1,1,1,"3","0",0,0,1,1936
43,1,1,1,"3","1",0,0,1,1849
41,1,0,1,"3","0",0,0,1,1681
43,1,0,0,"3","0",0,0,0,1849
44,1,1,0,"3","1",0,0,0,1936
43,0,1,1,"3","0",0,0,0,1849
39,1,1,1,"3","0",0,0,0,1521
42,1,1,1,"4","1",0,1,1,1764
43,0,1,0,"3","0",0,0,0,1849
32,0,0,1,"3","1",0,0,0,1024
36,1,1,1,"3","1",0,0,0,1296
45,1,1,0,"3","1",0,0,0,2025
41,0,1,1,"3","0",1,1,0,1681
39,0,1,1,"4","1",1,1,0,1521
29,0,0,1,"2","1",0,0,0,841
45,0,1,1,"4","0",0,0,0,2025
41,0,1,1,"3","1",0,0,0,1681
40,0,1,1,"3","1",0,0,0,1600
46,1,0,0,"2","0",1,1,0,2116
44,0,1,0,"4","0",1,1,0,1936
41,0,1,0,"3","0",1,1,0,1681
45,1,1,1,"3","0",1,1,0,2025
44,0,1,1,"2","0",1,1,0,1936
39,0,1,1,"3","0",1,1,0,1521
35,0,0,1,"3","1",1,1,0,1225
45,0,0,0,"2","0",1,1,0,2025
42,0,0,0,"2","0",1,1,0,1764
40,0,1,0,"1","0",1,1,0,1600
44,0,1,0,"2","0",1,1,0,1936
46,1,1,0,"2","0",1,1,0,2116
31,1,0,1,"3","0",1,1,0,961
30,1,1,1,"2","1",0,0,0,900
46,0,1,1,"2","0",1,0,0,2116
34,0,1,1,"3","1",1,0,0,1156
41,0,1,0,"2","0",1,0,0,1681
40,1,1,0,"2","0",1,0,0,1600
43,1,1,0,"2","1",1,0,0,1849
41,1,0,0,"2","0",1,0,0,1681
37,1,1,0,"4","1",1,0,0,1369
46,1,1,0,"2","0",1,1,0,2116
43,0,1,0,"3","0",1,1,0,1849
40,1,1,0,"2","0",1,1,0,1600
46,1,1,0,"2","0",1,1,0,2116
42,0,1,0,"2","0",1,1,0,1764
39,0,1,0,"3","0",1,1,0,1521
33,1,1,0,"3","0",1,1,0,1089
44,1,1,0,"3","0",1,1,0,1936
45,0,1,1,"3","0",0,0,0,2025
42,0,1,1,"2","0",0,0,0,1764
38,0,1,1,"3","0",0,0,0,1444
36,0,1,1,"3","1",0,0,0,1296
45,1,1,0,"3","1",0,0,0,2025
36,1,1,1,"3","1",1,0,0,1296
35,1,1,1,"3","0",1,0,0,1225
33,1,1,1,"4","0",1,0,0,1089
32,0,1,1,"3","0",1,0,0,1024
31,0,1,1,"2","0",1,0,0,961
26,0,1,1,"3","0",1,0,0,676
24,0,0,1,"2","1",1,0,0,576
45,1,1,0,"3","0",0,1,1,2025
44,1,1,0,"2","0",0,0,0,1936
38,1,1,0,"4","0",0,0,0,1444
36,1,1,0,"4","1",0,0,0,1296
27,0,0,0,"3","0",0,1,1,729
45,0,1,1,"3","0",0,1,1,2025
43,0,0,1,"2","0",0,1,1,1849
42,0,1,1,"3","0",0,1,1,1764
40,0,1,1,"3","0",0,1,1,1600
37,1,1,1,"3","1",0,1,1,1369
34,1,1,1,"3","1",0,1,1,1156
32,1,1,1,"2","0",0,1,1,1024
34,0,1,0,"3","0",0,0,0,1156
31,0,1,0,"2","0",0,0,0,961
29,1,1,0,"2","0",0,0,0,841
27,0,1,0,"3","0",0,0,0,729
24,0,0,0,"2","0",0,0,0,576
43,1,0,0,"3","1",0,0,0,1849
42,1,1,0,"3","0",0,0,0,1764
46,0,1,1,"3","0",0,0,0,2116
44,1,0,1,"3","0",0,0,0,1936
33,0,1,1,"3","1",0,0,0,1089
35,1,0,1,"1","1",0,0,0,1225
46,0,1,0,"2","0",0,0,0,2116
43,1,0,0,"3","0",0,0,0,1849
43,1,1,1,"3","0",0,0,1,1849
32,1,0,1,"3","1",0,0,1,1024
43,0,0,0,"1","0",0,0,0,1849
42,1,1,1,"3","1",0,0,0,1764
32,0,1,1,"4","1",0,0,0,1024
39,1,1,1,"3","0",0,0,0,1521
44,0,1,1,"3","0",0,0,0,1936
34,0,1,1,"3","0",0,0,0,1156
46,1,1,1,"2","0",1,1,0,2116
44,1,1,1,"2","0",1,1,0,1936
42,1,1,1,"2","0",1,1,0,1764
35,0,1,1,"2","0",0,1,1,1225
34,1,1,1,"3","0",0,1,1,1156
33,0,1,1,"3","1",0,1,1,1089
42,1,1,0,"3","1",0,0,0,1764
41,0,1,0,"4","0",0,0,0,1681
39,1,1,0,"2","0",0,0,0,1521
34,1,1,1,"3","0",1,1,0,1156
29,0,1,1,"2","0",1,1,0,841
43,0,1,1,"4","0",0,1,1,1849
45,1,1,1,"2","0",0,1,1,2025
37,1,0,0,"3","0",0,1,1,1369
43,1,1,0,"4","1",0,0,0,1849
39,1,1,0,"3","1",0,0,0,1521
34,0,1,0,"4","1",0,0,0,1156
29,1,0,0,"1","0",0,0,0,841
46,1,1,1,"2","0",0,0,0,2116
45,1,1,1,"3","1",0,0,0,2025
44,1,1,1,"3","1",0,0,0,1936
39,1,1,0,"3","1",0,0,0,1521
46,1,1,1,"3","0",0,1,1,2116
44,1,1,1,"3","0",0,1,1,1936
42,1,1,1,"2","0",0,1,1,1764
35,1,1,1,"2","0",1,1,0,1225
38,1,1,1,"3","1",1,1,0,1444
37,1,1,0,"3","0",0,0,0,1369
36,0,1,0,"3","0",0,0,0,1296
44,0,1,1,"3","0",1,0,1,1936
41,0,1,1,"4","0",1,0,1,1681
46,0,1,0,"2","0",0,0,0,2116
27,1,0,0,"1","0",1,1,0,729
23,0,0,0,"2","1",1,1,0,529
45,1,1,0,"2","0",1,1,0,2025
33,0,1,0,"3","0",0,0,0,1089
28,1,1,0,"4","1",0,0,0,784
39,1,1,0,"4","0",0,0,0,1521
38,1,1,0,"3","1",0,0,0,1444
46,1,1,1,"2","0",1,1,0,2116
36,1,1,1,"3","1",1,1,0,1296
45,0,0,1,"2","1",1,1,0,2025
44,1,1,1,"2","0",1,1,0,1936
41,1,1,1,"3","1",1,1,0,1681
40,1,1,1,"3","1",1,1,0,1600
36,1,1,1,"2","0",0,1,0,1296
33,1,0,1,"2","0",0,1,0,1089
27,1,0,1,"2","0",0,1,0,729
36,0,1,1,"2","0",0,0,0,1296
31,0,1,1,"2","0",0,0,0,961
28,0,0,1,"2","1",0,0,0,784
23,1,0,1,"1","1",0,0,0,529
42,1,1,1,"4","0",0,0,0,1764
44,0,1,1,"3","0",0,0,0,1936
43,1,0,1,"2","0",1,1,0,1849
29,1,0,1,"2","0",1,1,0,841
27,0,1,1,"2","0",1,1,0,729
40,1,1,1,"3","0",1,1,0,1600
30,0,1,1,"3","1",1,1,0,900
46,0,1,1,"1","0",0,0,0,2116
44,1,1,1,"2","0",0,0,0,1936
42,0,1,1,"2","0",0,0,0,1764
45,0,1,1,"3","0",0,0,0,2025
43,0,1,1,"3","0",0,0,0,1849
41,0,1,1,"3","0",0,0,0,1681
34,0,0,1,"1","0",0,0,0,1156
39,1,1,1,"3","0",0,0,0,1521
37,0,0,1,"2","0",0,0,0,1369
46,1,0,0,"2","1",0,0,0,2116
42,1,0,0,"4","0",0,0,0,1764
36,1,1,0,"2","0",0,0,0,1296
46,1,1,0,"4","1",0,0,0,2116
45,1,1,1,"3","0",0,1,1,2025
32,1,1,1,"3","1",0,1,1,1024
36,1,1,1,"3","0",0,1,1,1296
35,0,1,1,"3","1",0,0,0,1225
34,1,0,1,"2","1",0,0,0,1156
42,0,1,0,"3","0",0,0,0,1764
40,0,1,0,"4","0",0,0,0,1600
34,1,1,1,"2","0",0,0,0,1156
32,0,1,1,"4","0",0,0,0,1024
30,1,0,1,"2","1",0,0,0,900
36,1,1,0,"3","0",0,0,0,1296
34,1,1,0,"2","0",0,0,0,1156
46,1,1,1,"3","1",0,1,0,2116
44,1,1,1,"3","0",0,1,0,1936
41,0,1,1,"4","0",0,1,0,1681
39,0,1,1,"3","0",0,1,0,1521
37,1,1,1,"4","1",0,1,0,1369
43,0,1,1,"1","0",0,1,0,1849
41,1,1,1,"3","1",0,1,0,1681
35,0,1,1,"2","1",0,1,0,1225
41,1,1,1,"3","0",0,0,0,1681
37,1,1,1,"3","0",0,0,0,1369
46,0,1,0,"2","0",0,1,0,2116
45,0,1,0,"3","0",0,1,0,2025
31,0,1,1,"3","0",0,0,0,961
29,1,1,1,"3","0",0,0,0,841
42,0,1,0,"2","0",0,1,0,1764
45,0,1,0,"3","0",0,1,0,2025
31,0,1,0,"1","0",0,1,0,961
46,1,1,1,"4","1",0,1,0,2116
41,0,1,1,"3","1",0,1,0,1681
37,0,1,1,"2","1",0,1,0,1369
